Domain,Having_IP,Have_At_Sign,URL_Length,URL_Depth,Redirection,HTTP_Domain,Tiny_URL,Prefix_Suffix,Iframe,Mouse_Over,Right_Click,Forwarding,Label
icloud.com.support-careplus.com,0,0,0,0,0,0,0,1,1,1,1,1,phishing
theaquaticmall.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
mms.tucsonhispanicchamber.net,0,0,1,1,0,0,0,0,1,1,1,1,phishing
nonaisazeh.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
sattvagroupexotic.in,0,0,0,1,0,0,0,0,1,1,1,1,phishing
atagucsea.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
steampoweroesd.me,0,0,0,1,0,0,0,0,1,1,1,1,phishing
mtmonly.com,0,1,1,6,0,0,0,0,1,1,1,1,phishing
fbrq2.codesandbox.io,0,0,0,0,0,0,0,0,1,1,1,1,phishing
skleptanie.pl,0,0,0,0,0,0,0,0,1,1,1,1,phishing
balletshop.eu,0,0,1,3,0,0,0,0,1,1,1,1,phishing
magalhaessilva.com.br,0,0,0,2,0,0,0,0,1,1,1,1,phishing
icipedudu-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,1,1,phishing
livestudentccc-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,1,1,phishing
urbanmeisters.ovh,0,0,1,6,0,0,0,0,1,1,1,1,phishing
thenine9.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
recover-paypal.com,0,0,0,2,0,0,0,1,1,1,1,1,phishing
testing-adjusting-balancing.com,0,0,1,2,0,0,0,1,1,1,1,1,phishing
email302.com,0,0,1,6,0,0,0,0,1,1,1,1,phishing
vkoltakti.webservis.ru,0,0,0,0,0,0,0,0,1,1,1,1,phishing
forms.office.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
jedkinventures.co.ke,0,0,1,3,0,0,0,0,1,1,1,1,phishing
qualityconsult.com.br,0,0,1,3,0,0,1,0,1,1,1,1,phishing
my3.uk-auth-c37.com,0,0,0,1,0,0,0,1,1,1,1,1,phishing
cheshiredriveandpatios.co.uk,0,0,0,1,0,0,0,0,1,1,1,1,phishing
ahsanfeeds.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
fareast.qa,0,0,1,3,0,0,0,0,1,1,1,1,phishing
evoketheculture.net,0,0,0,3,0,0,0,0,1,1,1,1,phishing
villa-azzurro.com,0,0,0,1,0,0,0,1,1,1,1,1,phishing
gofresh.com.pk,0,0,0,1,0,0,0,0,1,1,1,1,phishing
gordonng.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
rohtolab.com,0,0,1,9,0,0,0,0,1,1,1,1,phishing
hellerkil.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
poyenar.buzz,0,0,0,2,0,0,0,0,1,1,1,1,phishing
adminazizprovider.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
grupoenercon.com.sv,0,0,0,1,0,0,0,0,1,1,1,1,phishing
induferram.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
grindtimegym.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
faithpays.sowetoinnovations.co.za,0,0,1,2,0,0,0,0,1,1,1,1,phishing
maximizedwebsites.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
itauchekinsecurity.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
sites.google.com,0,0,0,3,0,0,0,0,1,1,1,1,phishing
allparts.jo.by,0,0,0,3,0,0,0,0,1,1,1,1,phishing
nexgenindia.org,0,0,1,21,0,0,0,0,1,1,1,1,phishing
appviagespontosbr.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
sites.google.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
cosmoia.com,0,1,1,4,0,0,0,0,1,1,1,1,phishing
team.cmgcharleston.com,0,0,1,8,0,0,0,0,1,1,1,1,phishing
honeysaienterprises.com,0,1,1,4,0,0,0,0,1,1,1,1,phishing
distinctfreight.co.zw,0,0,0,2,0,0,1,0,1,1,1,1,phishing
monovative-my.sharepoint.com:443,0,0,1,5,0,0,1,1,1,1,1,1,phishing
vibehotels.co.in,0,0,1,6,0,0,0,0,1,1,1,1,phishing
timberl6inch.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
flavena.co.rs,0,0,0,1,0,0,0,0,1,1,1,1,phishing
han.gl,0,0,0,1,0,0,0,0,1,1,1,1,phishing
vtchekhov.com,0,0,0,1,1,0,0,0,1,1,1,1,phishing
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
realfreakypedia.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
doapositioning.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
forms.office.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
apaseppol.com.br,0,0,0,2,0,0,0,0,1,1,1,1,phishing
m7po.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
paullemmerick.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
tounyou11.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
cassa7c.com,0,0,0,3,0,0,0,0,1,1,1,1,phishing
testq1w2e3r4.000webhostapp.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
menon.org.gr,0,0,0,1,0,0,0,0,1,1,1,1,phishing
pkk.depok.go.id,0,0,0,2,0,0,0,0,1,1,1,1,phishing
auslaufen.com,0,0,1,3,0,0,0,0,1,1,1,1,phishing
mail.geracaobenjamim.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
hindikavikssoni.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
villasakuraubud.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
well-made-iron.surge.sh,0,0,0,0,0,0,0,1,1,1,1,1,phishing
lida.si,0,0,1,5,0,0,0,0,1,1,1,1,phishing
thorrak.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
bit.ly,0,0,0,1,0,0,1,0,1,1,1,1,phishing
formbuddy.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
online.jimmyjohns.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
poligrafiapias.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
moonkahonda.com,0,0,1,3,0,0,0,0,1,1,1,1,phishing
bcpzonasegurabeta-viabcpxcom.web.primedtnt.com,0,0,1,1,0,0,1,1,1,1,1,1,phishing
room-77.com,0,0,1,8,0,0,0,1,1,1,1,1,phishing
67.199.68.195,0,0,0,1,0,0,0,0,1,1,1,1,phishing
alquileres.com.py,0,0,1,3,0,0,0,0,1,1,1,1,phishing
netman-marketing.com,0,0,0,3,0,0,0,1,1,1,1,1,phishing
rplg.co,0,0,0,1,0,0,0,0,1,1,1,1,phishing
yourfitnesscorner.com,0,0,1,9,0,0,0,0,1,1,1,1,phishing
plusmarcas.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
franquinjijecreateursde.afterlivre.com,0,0,1,1,0,0,0,0,1,1,1,1,phishing
wave.webaim.org,0,0,1,2,0,0,0,0,1,1,1,1,phishing
